strain_name,strain_slug,strain_category,strain_popularity,strain_aliases,strain_id,condition_add_adhd_votes,condition_alzheimers_votes,condition_anorexia_votes,condition_anxiety_votes,condition_arthritis_votes,condition_asthma_votes,condition_bipolar_disorder_votes,condition_cachexia_votes,condition_cancer_votes,condition_crohns_disease_votes,condition_epilepsy_votes,condition_fibromyalgia_votes,condition_gastrointestinal_disorder_votes,condition_glaucoma_votes,condition_hiv_aids_votes,condition_hypertension_votes,condition_migraines_votes,condition_multiple_sclerosis_votes,condition_muscular_dystrophy_votes,condition_parkinsons_votes,condition_phantom_limb_pain_votes,condition_pms_votes,condition_ptsd_votes,condition_spinal_cord_injury_votes,condition_tinnitus_votes,condition_tourettes_syndrome_votes,effect_aroused_votes,effect_creative_votes,effect_energetic_votes,effect_euphoric_votes,effect_focused_votes,effect_giggly_votes,effect_happy_votes,effect_hungry_votes,effect_relaxed_votes,effect_sleepy_votes,effect_talkative_votes,effect_tingly_votes,effect_uplifted_votes,flavor_ammonia_votes,flavor_apple_votes,flavor_apricot_votes,flavor_berry_votes,flavor_blue_cheese_votes,flavor_blueberry_votes,flavor_butter_votes,flavor_cheese_votes,flavor_chemical_votes,flavor_chestnut_votes,flavor_citrus_votes,flavor_coffee_votes,flavor_diesel_votes,flavor_earthy_votes,flavor_flowery_votes,flavor_grape_votes,flavor_grapefruit_votes,flavor_honey_votes,flavor_lavender_votes,flavor_lemon_votes,flavor_lime_votes,flavor_mango_votes,flavor_menthol_votes,flavor_mint_votes,flavor_nutty_votes,flavor_orange_votes,flavor_peach_votes,flavor_pear_votes,flavor_pepper_votes,flavor_pine_votes,flavor_pineapple_votes,flavor_plum_votes,flavor_pungent_votes,flavor_rose_votes,flavor_sage_votes,flavor_skunk_votes,flavor_spicy_herbal_votes,flavor_strawberry_votes,flavor_sweet_votes,flavor_tar_votes,flavor_tea_votes,flavor_tobacco_votes,flavor_tree_fruit_votes,flavor_tropical_votes,flavor_vanilla_votes,flavor_violet_votes,flavor_woody_votes,negative_anxious_votes,negative_dizzy_votes,negative_dry_eyes_votes,negative_dry_mouth_votes,negative_headache_votes,negative_paranoid_votes,review_total_condition_votes,review_total_effect_votes,review_total_flavor_votes,review_total_negative_votes,review_total_symptom_votes,symptom_cramps_votes,symptom_depression_votes,symptom_eye_pressure_votes,symptom_fatigue_votes,symptom_headaches_votes,symptom_inflammation_votes,symptom_insomnia_votes,symptom_lack_of_appetite_votes,symptom_muscle_spasms_votes,symptom_nausea_votes,symptom_pain_votes,symptom_seizures_votes,symptom_spasticity_votes,symptom_stress_votes
ak 47,ak-47,Hybrid,0.22756379307015098,"AK471,AK47,AK473",1,146,12,41,550,73,40,89,6,30,23,20,45,36,18,12,40,183,17,9,11,12,75,131,38,24,16,214,669,614,915,480,449,1129,550,834,387,507,309,895,7,7,2,30,5,10,3,14,24,11,86,8,41,372,124,12,12,14,14,36,18,8,10,17,24,14,2,3,39,131,10,2,209,8,21,172,85,5,189,17,20,22,21,37,9,9,182,84,195,459,772,113,176,790,1850,704,982,1123,67,476,65,204,149,81,327,203,137,231,510,14,30,765
chemdawg,chemdawg,Hybrid,0.28846413821073164,"CHEMOG,CHEMD,LOGXCHEMDOG,CHEMPIEOG11,CHEMDOG91,CHEMDOG,CHEMDOG4,CHEMDAWG,GREENRIVERKILLER",2,126,5,39,477,81,26,88,3,29,20,14,42,51,10,10,38,143,17,7,8,9,61,139,36,20,6,180,502,408,850,379,334,858,378,776,265,345,295,723,14,1,2,18,1,9,5,8,165,5,86,9,335,341,58,5,7,7,9,46,14,4,10,18,25,13,3,1,31,122,6,3,260,4,16,108,52,2,74,12,12,12,10,16,4,2,94,59,125,282,477,63,86,650,1433,644,639,869,82,400,46,161,164,102,240,188,126,200,473,21,33,596
mr nice,mr-nice,Indica,0.04001258066385073,"MRNICEBB,MRNICE,MRNICEGUY",3,57,5,19,204,28,10,44,1,13,9,9,25,26,3,5,18,63,6,6,4,5,26,56,18,10,5,62,135,77,289,106,101,294,185,340,223,89,107,211,3,2,1,15,1,8,2,5,6,4,18,2,11,155,33,5,2,2,5,6,2,1,2,8,11,0,2,2,10,35,2,3,76,3,15,27,28,4,98,6,8,4,10,11,3,4,55,14,46,137,203,37,38,271,559,240,272,352,27,130,28,45,70,32,156,70,61,71,207,10,15,249
super silver haze,super-silver-haze,Sativa,0.21139929537246765,"SUPERSIVERHAZE,SUPERSILVERHAZEF4,SUPERSILVERHAZEKUSH,SUPERSILVERLEMONHAZE,SUPERSILVERLEMONHAZER07176,0000SUPERSHAZE,SUPERSILVERSOURDIESELHAZE,SUPERSOURSILVERDIESELHAZE,SUPERSILVERHAZE1,SSHAZE,SUPERSILVERHAZE,SUPERSILVERHAZE2,SSH,CRITICALSUPERSILVERHAZE",6,124,8,28,445,62,20,73,3,18,6,16,36,32,10,7,33,123,11,9,9,12,54,91,24,24,18,153,651,760,835,500,372,910,303,522,101,438,226,903,10,6,1,17,5,1,8,16,22,7,241,2,30,217,79,4,9,15,12,82,20,7,8,21,18,29,7,2,17,90,10,0,142,4,22,90,77,3,216,2,19,7,18,49,6,0,80,74,132,278,453,58,127,602,1414,587,634,817,31,432,44,228,120,70,124,163,77,174,330,21,19,575
northern lights 5,northern-lights--5,Indica,0.013107617095356466,NORTHERNLIGHTS5,7,8,1,2,51,8,1,11,0,3,0,3,6,2,1,2,5,12,0,1,0,5,7,9,7,1,0,17,44,19,78,28,29,71,31,66,29,28,24,60,2,3,1,1,0,2,1,1,1,1,19,0,0,22,9,2,0,5,3,4,4,1,0,2,1,1,0,0,0,16,1,3,12,0,4,5,5,0,24,1,3,0,2,2,1,1,5,3,4,26,45,6,9,64,123,47,57,82,5,39,2,12,13,11,23,14,17,15,39,4,5,57
snowcap,snowcap,Hybrid,0.03452233481671132,"SNOCAP,SNOWCAP,SNOWCAPLA",8,29,1,7,118,18,8,31,0,5,1,2,7,14,2,1,5,36,5,0,2,2,21,31,6,3,2,43,164,181,180,116,85,204,68,103,29,101,53,205,8,1,1,10,1,4,2,1,8,2,56,4,10,49,15,1,7,5,7,65,14,4,21,17,3,6,3,3,8,35,5,4,30,2,6,9,7,2,31,2,5,0,4,12,2,0,14,26,28,66,120,13,36,178,342,141,168,238,14,111,7,60,31,30,44,25,36,46,101,5,5,171
blue cheese,blue-cheese,Indica,0.18733325792292135,"BCHBLUECHEESE,BLUECHEESE",9,149,8,50,551,90,34,124,2,37,26,21,65,45,11,11,37,157,21,22,13,18,61,148,46,21,17,177,418,236,943,323,445,1000,548,1127,677,334,316,649,3,6,2,165,640,296,24,510,18,4,35,9,18,190,49,11,4,5,5,9,4,8,4,12,19,7,4,5,19,43,6,3,267,3,20,142,32,5,160,4,12,8,6,17,10,3,57,57,145,381,664,84,101,758,1737,901,845,1051,80,446,63,154,169,116,454,226,188,218,572,33,40,747
mk ultra,mk-ultra,Indica,0.0605582393692011,"MKULTRAFEM,MKULTRA1FEM,MKULTRA,MKULTRA00025,MKULTRA00024,MKULTRA00023,MKULTRA00008,MKULTRAPOST",10,42,7,20,166,46,20,33,8,11,8,6,32,33,15,1,13,50,12,3,4,5,27,58,13,12,7,70,97,39,270,81,81,275,162,386,275,63,112,159,4,2,0,15,4,9,1,9,14,8,30,11,18,147,31,11,4,8,5,14,8,0,4,9,19,3,2,0,9,53,3,4,96,2,6,40,31,1,56,1,10,3,5,9,8,1,65,18,47,101,201,14,31,220,513,245,256,324,39,127,31,41,58,53,176,86,56,96,207,7,17,216
granddaddy purple,granddaddy-purple,Indica,0.4815249088867492,"GRANDADDYPURPLE1,GRANDADDYPURPLE,GRANDDADDYPURPLEC,GDPKC,GRANDDADDYPURP,GRANDADDYPURP,GRANDDADDYPURPS,GRANDDADDYPURPLEKUSH,DRWXGDP,KENSGDP,BANGSGRANDDADDYPURPLE,GRANDDADDYGRAPE,SHISKAGDP,GDPCHEESE1,ZIONSGRANDADDYPURPLE,GRANDDADDYDERKLE,GRANDDADDYPURPBAY11,PLATINUMGDP,PICKENSMTNGDP,GRANDDADDYPURPLE,GDP,GDP1,GDPJS,GDPKENSCUT,GRANDDADDYPURPLEGREENPHENO",11,280,21,93,1057,217,90,211,17,78,50,67,128,115,43,33,105,354,54,35,31,43,140,330,103,54,36,361,597,272,1510,449,625,1601,1120,2040,1682,404,592,909,7,7,5,673,5,121,14,12,13,8,82,20,38,351,181,743,33,29,85,30,13,17,10,28,48,15,5,8,29,122,9,37,249,16,25,113,65,19,645,5,25,12,30,79,16,44,117,84,243,591,1031,107,163,1409,2990,1367,1320,1903,178,735,99,245,392,241,1021,454,363,435,1136,78,85,1314
g 13,g-13,Indica,0.14410929727612073,"MG13,PG13,G13H1,G13,G13H",12,62,1,13,249,40,13,43,2,14,7,9,27,24,9,5,18,85,6,7,4,7,22,61,21,7,4,74,213,133,466,155,153,451,218,449,258,151,152,314,3,2,0,14,0,8,4,6,8,7,31,3,15,205,38,10,6,9,6,13,5,5,1,5,14,4,1,2,11,102,4,2,61,3,10,21,22,2,127,5,12,5,11,12,1,2,81,17,69,152,273,33,50,335,770,309,357,470,33,201,28,57,77,56,191,97,50,105,258,15,17,326
